696279 Archaeology	67934 Arqueología	241652 Archäologie	84940 Archéologie	16729 Arqueologia	20030 علم_الآثار	5739 Arkeologia	6144 Αρχαιολογία	17045 Arheologie	5421 Arqueologia
718751 Bhutan 	100676 Bután 	242220 Bhutan 	83956 Bhoutan 	33777 Bhutan 	134553 بوتان 	21597 Bhutan 	48923 Μπουτάν 	18164 Bhutan 	9735 Botan 
713009 Botswana 	251626 Botsuana 	6792965 Botswana 	127268 Botswana 	33409 Botswana 	103852 بوتسوانا 	4289 Botswana 	27715 Μποτσουάνα 	16169 Botswana 	9739 Botswana 
12594592 Bovidae 	183932 Bovidae 	1947860 Hornträger 	134221 Bovidae 	31390 Bòvids 	257043 بقريات 	61796 Bovidae 	45103 Βοοειδή 	204342 Bovidae 	53200 Bovid 
1052752 Branches_of_philosophy 	2333713 Ramas_de_la_filosofía 	1033802 Philosophische_Disziplin 	294252 Branche_de_la_philosophie 	196869 Disciplines_filosòfiques 	45723 فروع_الفلسفة 	100090 Filosofiaren_adarrak 	251963 Κλάδοι_της_φιλοσοφίας 	158036 Ramuri_ale_filozofiei 	10564 Branca_de_la_filosofia 
693003 Brazil 	51664 Brasil 	242225 Brasilien 	87781 Brésil 	16854 Brasil 	219585 البرازيل 	8214 Brasil 	39097 Βραζιλία 	11455 Brazilia 	5820 Brasil 
924795 Brittany 	420263 Bretaña 	1005812 Bretagne 	88723 Bretagne 	36592 Bretanya 	730361 بريتاني 	10096 Bretainia 	277556 Βρετάνη 	68357 Bretania 	5474 Bretanha 
1916514 Bromeliaceae 	152490 Bromeliaceae 	2738193 Bromeliaceae 	359534 Bromeliaceae 	1044665 Bromeliàcies 	1581058 بروميلية 	492771 Bromeliaceae 	217228 Βρομελιοειδή 	123414 Bromeliaceae 	32291 Bromeliaceae 
889646 Brunei 	2783516 Brunéi 	242237 Brunei 	83954 Brunei 	30141 Brunei 	156386 بروناي 	15260 Brunei 	83845 Μπρουνέι 	18170 Brunei 	7950 Brunei 
712960 Bulgaria 	67735 Bulgaria 	242238 Bulgarien 	84100 Bulgarie 	26704 Bulgària 	8652 بلغاريا 	8460 Bulgaria 	6064 Βουλγαρία 	16111 Bulgaria 	5507 Bulgaria 
743307 Burkina_Faso 	69363 Burkina_Faso 	242239 Burkina_Faso 	1182214 Burkina_Faso 	30139 Burkina_Faso 	56580 بوركينا_فاسو 	4287 Burkina_Faso 	68389 Μπουρκίνα_Φάσο 	18064 Burkina_Faso 	9740 Burkina_Faso 
713022 Burundi 	70426 Burundi 	242241 Burundi 	127302 Burundi 	30540 Burundi 	36006 بوروندي 	4285 Burundi 	54397 Μπουρούντι 	18063 Burundi 	9741 Burundi 
1114670 Bible 	176031 Biblia 	237744 Bibel 	87377 Bible 	13638 Bíblia 	30240 الكتاب_المقدس 	55227 Biblia 	15872 Βίβλος 	21141 Biblia 	31995 Bíblia 
1002276 Forests 	992721 Bosques 	261994 Wald 	104627 Forêt 	547099 Boscs 	31369 غابات 	42431 Basoak 	296379 Δάση 	114026 Păduri 	4881 Bòsc 
712975 Bosnia_and_Herzegovina 	1195077 Bosnia_y_Herzegovina 	242222 Bosnien_und_Herzegowina 	84098 Bosnie-Herzégovine 	30692 Bòsnia_i_Hercegovina 	290704 البوسنة_والهرسك 	7997 Bosnia-Herzegovina 	38301 Βοσνία_και_Ερζεγοβίνη 	748960 Bosnia_și_Herțegovina 	5506 Bòsnia_e_Ercegovina 
838967 Coffee 	311232 Café 	358184 Kaffee 	120131 Café 	544814 Cafè 	414144 قهوة 	204902 Kafea 	8522 Καφές 	960801 Cafea 	15312 Cafè 
698466 Calendars 	6408394 Calendarios 	234229 Kalender 	114194 Calendrier 	30143 Calendari 	7497 تقويم 	6411 Egutegia 	18000 Ημερολόγια 	24782 Calendare 	6187 Calendièr 
1054498 Calabria 	237754 Calabria 	2599882 Kalabrien 	229571 Calabre 	197956 Calàbria 	960711 كالابريا 	21105 Calabria 	103901 Καλαβρία 	786698 Calabria 	5552 Calàbria 
697289 Cambodia 	69564 Camboya 	242369 Kambodscha 	83971 Cambodge 	27335 Cambodja 	34739 كمبوديا 	133330 Kanbodia 	53496 Καμπότζη 	18174 Cambodgia 	9788 Cambòtja 
713021 Cameroon 	70194 Camerún 	242370 Kamerun 	87742 Cameroun 	21495 Camerun 	362470 الكاميرون 	24752 Kamerun 	49115 Καμερούν 	18065 Camerun 	9742 Cameron 
948799 Fungi 	930482 Fungi 	247172 Pilze 	7237375 Fungi 	89801 Fongs 	49347 فطريات 	62178 Fungi 	14951 Μύκητες 	89534 Regnul_Fungi 	35569 Campairòl_(nom_vernacular) 
1044420 Campania 	726709 Campania 	2599886 Kampanien 	165249 Campanie 	76724 Campània 	1855359 كامبانيا 	21106 Campania 	105480 Καμπανία 	954611 Campania 	5556 Campània 
704389 Dogs 	74962 Perros 	408621 Haushund 	109029 Chien 	142833 Gossos 	591891 كلاب 	46776 Txakurrak 	102598 Σκύλος 	31334 Câini 	25430 Can 
693032 Canada 	51803 Canadá 	242371 Kanada 	96239 Canada 	19843 Canadà 	32803 كندا 	6233 Kanada 	20545 Καναδάς 	13105 Canada 	5721 Canadà 
754577 Canals 	1558105 Canales 	237550 Kanal 	199626 Canal 	45246 Canals 	7993 ممرات_مائية 	11938 Ubideak 	70908 Διώρυγες 	104508 Canale 	12114 Canal 
3268139 Chancellors_of_Germany 	76081 Cancilleres_de_Alemania 	238118 Bundeskanzler_(Deutschland) 	5987077 Chancelier_de_la_République_fédérale_d'Allemagne 	82187 Cancellers_d'Alemanya 	24344 مستشارو_ألمانيا 	204994 Alemaniako_kantzilerrak 	7840 Γερμανοί_καγκελάριοι 	31745 Cancelari_germani 	44967 Cancelièr_d'Alemanha 
914714 Canines 	663231 Canidae 	360501 Hunde 	134232 Canidae 	31446 Cànids 	425878 كلبيات 	61798 Canidae 	113053 Κυνίδες 	77386 Canidae 	53102 Canid 
8366824 Cannabaceae 	105689 Cannabaceae 	4394304 Cannabaceae 	211703 Cannabaceae 	118732 Cannabàcies 	715925 قنبية 	122725 Cannabaceae 	154900 Κανναβοειδή 	123243 Cannabaceae 	54364 Cannabaceae 
699958 Opera_singers 	92164 Cantantes_líricos 	593760 Opernsänger 	157413 Chanteur_d'opéra 	12439 Cantants_d'òpera 	179833 مغنون_أوبراليون 	64427 Opera_abeslariak 	95706 Τραγουδιστές_όπερας 	749967 Cântăreți_de_operă 	34896 Cantaire_d'opèra 
696410 Songs 	80948 Canciones 	360859 Lied 	94750 Chanson 	30779 Cançons 	1936463 أغان 	6178 Abestiak 	15237 Τραγούδια 	234083 Cântece 	10312 Cançon 
981587 Capitals_in_Asia 	698247 Capitales_de_Asia 	637758 Hauptstadt_in_Asien 	673806 Capitale_d'Asie 	448153 Capitals_d'estats_independents_d'Àsia 	8776 عواصم_آسيا 	382529 Asiako_hiriburuak 	124315 Πρωτεύουσες_της_Ασίας 	49279 Capitale_în_Asia 	15300 Capitala_d'Asia 
1340858 Charadriiformes 	199137 Charadriiformes 	643153 Regenpfeiferartige 	158005 Charadriiformes 	82361 Caradriformes 	1090821 زقزاقيات 	61745 Charadriiformes 	300567 Χαραδριόμορφα 	420281 Charadriiformes 	53991 Caradriifòrme 
946724 Carnivores 	196178 Carnivora 	258486 Raubtiere 	227519 Carnivore 	89315 Carnívors 	280310 لواحم 	61799 Carnivora 	22833 Σαρκοφάγα 	77389 Carnivore 	53087 Carnivòr 
716309 Cartography 	51115 Cartografía 	4680202 Kartografie 	142368 Cartographie 	36394 Cartografia 	65701 علم_الخرائط 	9755 Kartografia 	11474 Χαρτογραφία 	87859 Cartografie 	13903 Cartografia 
1368981 Caryophyllales 	180837 Caryophyllales 	1296569 Nelkenartige 	225877 Caryophyllales 	115459 Cariofil·lals 	973774 قرنفليات 	65673 Caryophyllales 	134771 Καρυοφυλλώδη 	123417 Caryophyllales 	33069 Caryophyllales 
700643 Castles 	167332 Castillos 	243971 Burg 	157420 Château_fort 	18817 Castells 	35232 قلاع 	45106 Gazteluak 	43739 Κάστρα 	654769 Castele 	35179 Castèl_fòrt 
705468 Catalonia 	51024 Cataluña 	448695 Katalonien 	89037 Catalogne 	16114 Catalunya 	185671 كاتالونيا 	7253 Katalunia 	131915 Καταλονία 	128355 Catalonia 	5566 Catalonha 
1041944 Cathedrals 	83729 Catedrales 	2930262 Kathedrale 	94351 Cathédrale 	12863 Catedrals 	8434 كاتدرائيات 	57726 Katedralak 	277885 Καθεδρικοί_ναοί 	190109 Catedrale 	47832 Catedrala 
2995386 Categories_by_language 	1082206 Categorías_por_idioma 	5790386 Thema_nach_Sprache 	541714 Catégorie_par_langue 	502560 Categories_per_llengua 	489546 تصنيفات_حسب_اللغة 	163608 Kategoriak_hizkuntzaren_arabera 	325729 Κατηγορίες_ανά_γλώσσα 	373352 Categorii_după_limbă 	10645 Categoria_per_lenga 
4643794 Catholicism 	161387 Catolicismo 	249429 Katholizismus 	83786 Catholicisme 	19352 Catolicisme 	41539 كاثوليكية 	7290 Katolizismoa 	310221 Ρωμαιοκαθολικισμός 	145566 Biserica_Catolică 	15965 Catolicisme 
7295484 Cavies 	792938 Caviidae 	7746275 Meerschweinchen 	5480512 Caviidae 	1023968 Càvids 	1263291 قبيعات 	238993 Caviidae 	300936 Καβιίδες 	428897 Caviidae 	55153 Cavid 
843838 Kazakhstan 	1283782 Kazajistán 	242374 Kasachstan 	84004 Kazakhstan 	30546 Kazakhstan 	27479 كازاخستان 	21593 Kazakhstan 	50871 Καζακστάν 	18193 Kazahstan 	27562 Cazacstan 
755928 Cemeteries 	229845 Cementerios 	321163 Friedhof 	103473 Cimetière 	207730 Cementiris 	142085 مقابر 	99322 Hilerriak 	69886 Νεκροταφεία 	195751 Cimitire 	47703 Cementèri 
1783752 Cenozoic 	1187869 Cenozoico 	5814237 Känozoikum 	334510 Cénozoïque 	115092 Cenozoic 	1698002 حقبة_الحياة_الحديثة 	80109 Zenozoikoa 	159195 Καινοζωική_εποχή 	189227 Cenozoic 	48785 Cenozoïc 
892910 Censorship 	1521457 Censura 	556527 Zensur 	714069 Censure 	755753 Censura 	387467 رقابة 	161576 Zentsura 	46794 Λογοκρισία 	350476 Cenzură 	147329 Censura 
791496 Hospitals 	155839 Hospitales 	311256 Krankenhaus 	151187 Centre_hospitalier 	44882 Hospitals 	177749 مستشفيات 	35410 Ospitaleak 	45343 Νοσοκομεία 	341491 Spitale 	57323 Centre_espitalièr 
743211 Central_African_Republic 	67659 República_Centroafricana 	242686 Zentralafrikanische_Republik 	167101 République_centrafricaine 	35463 República_Centreafricana 	300369 أفريقيا_الوسطى 	24740 Afrika_Erdiko_Errepublika 	86957 Κεντροαφρικανική_Δημοκρατία 	18068 Republica_Centrafricană 	35573 Centreafrica 
694869 Cereals 	51208 Cereales 	243083 Getreide 	100330 Céréale 	28060 Cereals 	17700 حبوب 	65247 Zerealak 	124360 Δημητριακά 	105393 Cereale 	34284 Cereala 
922709 Deer 	183688 Cervidae 	2647869 Hirsche 	237818 Cervidae 	749467 Cérvols 	310581 أيليات 	61839 Cervidae 	149902 Ελαφίδες 	458612 Cervidae 	53131 Cervid 
691536 Cetaceans 	601239 Cetacea 	249203 Wale 	154293 Cétacé 	31586 Cetacis 	295174 حيتانيات 	8812 Zetazeoak 	45300 Κητώδη 	77407 Cetacee 	53450 Cetacèu 
713019 Chad 	67661 Chad 	242662 Tschad 	127311 Tchad 	25074 Txad 	18760 تشاد 	24762 Txad 	67419 Τσαντ 	18069 Ciad 	9323 Chad 
6456753 Massacres 	210445 Masacres 	600311 Massaker 	257189 Massacre 	60633 Massacres 	31380 مجازر 	295382 Sarraskiak 	315422 Θηριωδίες 	184746 Masacre 	13554 Chaple 
933612 Chechnya 	134340 Chechenia 	336573 Tschetschenien 	122695 Tchétchénie 	96936 Txetxènia 	197015 الشيشان 	160928 Txetxenia 	112242 Δημοκρατία_της_Τσετσενίας 	38062 Cecenia 	34607 Chechenia 
804301 Czechoslovakia 	932289 Checoslovaquia 	2061691 Tschechoslowakei 	274148 Tchécoslovaquie 	283277 Txecoslovàquia 	319801 تشيكوسلوفاكيا 	296924 Txekoslovakia 	63812 Τσεχοσλοβακία 	22876 Cehoslovacia 	60607 Checoslovaquia 
693007 Chile 	51676 Chile 	242243 Chile 	91840 Chili 	13778 Xile 	29121 تشيلي 	17991 Txile 	55242 Χιλή 	52852 Chile 	7595 Chile 
695075 China 	62404 China 	239462 China 	82493 Chine 	16955 Xina 	6500 الصين 	7493 Txina 	8218 Κίνα 	18183 China 	17180 China 
707461 Cyprus 	70431 Chipre 	7127137 Republik_Zypern 	83970 Chypre 	16848 Xipre 	8563 قبرص 	24585 Zipre 	5633 Κύπρος 	16123 Cipru 	5822 Chipre 
1754736 Cybernetics 	198573 Cibernética 	650766 Kybernetik 	487593 Cybernétique 	1083228 Cibernètica 	276246 سبرانية 	199941 Zibernetika 	80587 Κυβερνητική 	24842 Cibernetică 	13837 Cibernetica 
876163 Cyclists 	52746 Ciclistas 	236045 Radsportler 	92920 Cycliste 	50333 Ciclistes 	302014 دراجون 	7808 Txirrindulariak 	169263 Αθλητές_της_ποδηλασίας 	749239 Cicliști 	61079 Ciclista 
1313513 Ciconiiformes 	144848 Ciconiiformes 	350839 Schreitvögel 	168156 Ciconiiformes 	90616 Ciconiformes 	49093 لقلقيات 	61747 Ciconiiformes 	19446 Πελαργόμορφα 	419412 Ciconiiformes 	55912 Ciconiifòrme 
1270758 Cyprinidae 	505284 Cyprinidae 	5350323 Karpfenfische 	6390247 Cyprinidae 	326830 Ciprínids 	242211 شبوطيات 	486376 Cyprinidae 	319926 Κυπρινίδες 	442498 Cyprinidae 	53434 Ciprinid 
804789 Surgery 	238187 Cirugía 	283486 Chirurgie 	96803 Chirurgie 	284598 Cirurgia 	126272 جراحة 	15631 Kirurgia 	57827 Χειρουργική 	41488 Chirurgie 	56268 Cirurgia 
26184109 Association_football_clubs 	94012 Equipos_de_fútbol 	243954 Fußballverein 	85294 Club_de_football 	12679 Clubs_de_futbol 	10314 أندية_كرة_قدم 	10039 Futbol_taldeak 	264636 Ποδοσφαιρικές_ομάδες 	21612 Cluburi_de_fotbal 	22766 Club_de_fotbòl 
928526 Colubrids 	801701 Colubridae 	1995572 Nattern 	5642732 Colubridae 	248758 Colúbrids 	1460306 أفاعي_أفعوانية 	362828 Colubridae 	309256 Καινοφιίδαι 	420327 Colubridae 	58305 Colubrid 
693010 Colombia 	51678 Colombia 	242380 Kolumbien 	122331 Colombie 	13762 Colòmbia 	29122 كولومبيا 	6971 Kolonbia 	45413 Κολομβία 	52858 Columbia 	26043 Colómbia 
698007 Comets 	112422 Cometas 	234241 Komet 	100303 Comète 	44407 Cometes 	628319 مذنبات 	113098 Kometak 	84633 Κομήτες 	644225 Comete 	29654 Cometa 
1692041 Oxygen_compounds 	2656962 Compuestos_de_oxígeno 	1958642 Sauerstoffverbindung 	482929 Composé_de_l'oxygène 	512327 Compostos_d'oxigen 	34017 مركبات_أكسجين 	164352 Oxigenodun_konposatuak 	264873 Ενώσεις_οξυγόνου 	886909 Compuși_ai_oxigenului 	7098 Compausat_de_l'oxigèn 
922516 Composers_by_nationality 	323678 Compositores_por_país 	1972640 Komponist_nach_Nationalität 	6626890 Compositeur_par_nationalité 	238088 Compositors_per_origen 	445370 ملحنون_حسب_الجنسية 	143525 Musikagileak_herrialdearen_arabera 	95682 Συνθέτες_ανά_εθνικότητα 	749527 Compozitori_după_naționalitate 	48810 Compositor_per_nacionalitat 
846741 Counties_of_England 	1513035 Condados_de_Inglaterra 	881866 Englische_Grafschaft 	221301 Comté_d'Angleterre 	76440 Comtats_d'Anglaterra 	171681 مقاطعات_إنجلترا 	52848 Ingalaterrako_konderriak 	79321 Κομητείες_της_Αγγλίας 	102551 Comitatele_Angliei 	15614 Comtat_d'Anglatèrra 
1214670 Counts 	366906 Condes 	330983 Graf 	439876 Comte 	30834 Comtes 	266971 كونتات 	435908 Kondeak 	330118 Κόμητες 	749776 Conți 	13117 Comte 
1410460 Communes_of_Manche 	437841 Localidades_de_Mancha 	4230276 Gemeinde_im_Département_Manche 	210107 Commune_de_la_Manche 	377989 Municipis_de_Manche 	2118495 بلديات_إقليم_المانش 	184580 Mancheko_udalerriak 	342827 Κοινότητες_της_Μάγχης 	1119067 Comune_în_Manche 	105187 Comuna_de_la_Marga 
722710 Communism 	1423884 Comunismo 	393110 Kommunismus 	158717 Communisme 	15921 Comunisme 	16728 شيوعية 	6406 Komunismoa 	10096 Κομμουνισμός 	20726 Comunism 	11500 Comunisme 
1021301 Communists 	134415 Comunistas 	8168676 Mitglied_einer_kommunistischen_Partei 	266567 Communiste 	25969 Comunistes 	6770 شيوعيون 	7616 Komunistak 	10099 Κομμουνιστές 	749687 Comuniști 	11504 Comunista 
702087 Commerce 	85125 Comercio 	419440 Handel 	84952 Commerce 	158851 Comerç 	8162 تجارة 	23042 Merkataritza 	75775 Εμπόριο 	749410 Comerț 	10813 Comèrci 
737122 Eurovision_Song_Contest 	99725 Festival_de_la_Canción_de_Eurovisión 	1128153 Eurovision_Song_Contest 	436355 Concours_Eurovision_de_la_chanson 	307013 Eurovisió 	934411 مسابقة_يوروفيجن_للاغاني 	237192 Eurovision_Abesti_Lehiaketa 	93785 Διαγωνισμοί_τραγουδιού_Eurovision 	39415 Eurovision 	55899 Concors_Eurovision_de_la_cançon 
35169710 Orion_(constellation) 	1373548 Constelación_de_Orión 	4611725 Orion_(Sternbild) 	676492 Constellation_d'Orion 	443822 Orió 	659694 كوكبة_الجبار 	341960 Orion_konstelazioa 	349882 Ωρίων_(αστερισμός) 	1164293 Constelația_Orion 	22790 Constellacion_d'Orion 
788686 Continents 	177210 Continentes 	235810 Kontinent 	82498 Continent 	13533 Continents 	4779 قارات 	3435 Kontinenteak 	9231 Ήπειροι 	15987 Continente 	7955 Continent 
912575 Chordates 	189750 Chordata 	2487425 Chordatiere 	2824811 Chordata 	28204 Cordats 	140750 حبليات 	8772 Kordatuak 	301984 Χορδωτά 	909785 Chordata 	53223 Cordat 
884344 Corsica 	435164 Córcega 	246273 Korsika 	123879 Corse 	74957 Còrsega 	832970 كورسيكا 	18643 Korsika 	84536 Κορσική 	90290 Corsica 	5476 Corsega 
1080921 Corvidae 	839302 Corvidae 	908751 Rabenvögel 	662831 Corvidae 	270878 Còrvids 	729459 غرابيات 	320990 Corvidae 	186747 Κορακίδες 	419711 Corvidae 	53988 Corvid 
804531 Korea 	99053 Corea 	375262 Korea 	83952 Corée 	27851 Corea 	311520 كوريا 	149183 Korea 	33233 Κορέα 	18187 Coreea 	34523 Corèa 
1414940 Crassulaceae 	111161 Crassulaceae 	2738207 Crassulaceae 	462902 Crassulaceae 	558203 Crassulàcies 	806265 مخلدية 	413718 Crassulaceae 	154475 Κρασσουλοειδή 	123418 Crassulaceae 	55388 Crassulaceae 
1013214 Chronology 	407929 Cronología 	829817 Chronologie 	159829 Chronologie 	630439 Cronologies 	1031469 تأريخ 	3448 Kronologia 	14112 Χρονολόγηση 	24644 Cronologie 	6726 Cronologia 
717130 Crusades 	139419 Cruzadas 	6578996 Kreuzzüge 	100308 Croisade 	26489 Croades 	7171 حملات_صليبية 	20808 Gurutzadak 	14622 Σταυροφορίες 	61276 Cruciade 	16025 Crosada 
712971 Croatia 	66772 Croacia 	242404 Kroatien 	87815 Croatie 	24878 Croàcia 	9284 كرواتيا 	11090 Kroazia 	31711 Κροατία 	749833 Croația 	5508 Croàcia 
964598 Crustaceans 	870000 Crustacea 	438544 Krebstiere 	144062 Crustacé 	90113 Crustacis 	32400 قشريات 	104358 Krustazeoak 	149812 Καρκινοειδή 	221405 Crustacee 	34306 Crustacea 
693035 Cuba 	51841 Cuba 	242402 Kuba 	121017 Cuba 	18951 Cuba 	6796 كوبا 	8028 Kuba 	14908 Κούβα 	21389 Cuba 	7683 Cuba 
1436305 Cuculiformes 	186143 Cuculiformes 	2663337 Kuckucksvögel 	1012963 Cuculiformes 	313473 Cuculiformes 	1174149 واقواقيات 	61781 Cuculiformes 	367998 Κοκκυγόμορφα 	196658 Cuculiformes 	53607 Cuculifòrme 
713767 Canadian_culture 	109157 Cultura_de_Canadá 	881335 Kultur_(Kanada) 	423906 Culture_canadienne 	565832 Cultura_del_Canadà 	596280 ثقافة_كندية 	67670 Kanadako_kultura 	210946 Πολιτισμός_του_Καναδά 	982161 Cultura_Canadei 	11438 Cultura_canadiana 
1086781 Cupressaceae 	142047 Cupressaceae 	3112416 Zypressengewächse 	464772 Cupressaceae 	119590 Cupressàcies 	636541 سروية 	126603 Cupressaceae 	156103 Κυπαρισσοειδή 	206273 Cupressaceae 	12830 Cupressaceae 
713040 Costa_Rica 	51495 Costa_Rica 	242244 Costa_Rica 	157929 Costa_Rica 	29021 Costa_Rica 	103834 كوستاريكا 	12414 Costa_Rica 	83852 Κόστα_Ρίκα 	96214 Costa_Rica 	9721 Còsta_Rica 
711033 North_Dakota 	992499 Dakota_del_Norte 	463593 North_Dakota 	109960 Dakota_du_Nord 	410707 Dakota_del_Nord 	223127 داكوتا_الشمالية 	89210 Ipar_Dakota 	244815 Βόρεια_Ντακότα 	836532 Dakota_de_Nord 	59915 Dakota_del_Nòrd 
691943 Denmark 	67633 Dinamarca 	242264 Dänemark 	101970 Danemark 	16825 Dinamarca 	394511 الدنمارك 	8454 Danimarka 	8128 Δανία 	13112 Danemarca 	5510 Danemarc 
735385 Dance 	50605 Danza 	1991348 Tanzen 	84983 Danse 	26295 Dansa 	118806 رقص 	5800 Dantza 	31020 Χορός 	35918 Dans 	5696 Dança 
3265614 Demography 	72079 Demografía 	353256 Demografie 	89031 Démographie 	20764 Demografia 	992682 دراسات_سكانية 	7864 Demografia 	19364 Δημογραφία 	96121 Demografie 	9920 Demografia 
999651 Design 	72722 Diseño 	1055527 Design 	484174 Design 	124787 Disseny 	143322 تصميم 	7867 Diseinua 	36112 Σχεδιασμός 	36048 Design 	50881 Design 
691015 Desserts 	51309 Postres 	250350 Süßspeise 	87854 Dessert 	768124 Postres 	12396 حلويات 	227014 Azkenburukoak 	35303 Γλυκά 	29288 Deserturi 	60976 Dessèrt 
705498 Deserts 	84886 Desiertos 	236371 Wüste 	99532 Désert 	46285 Deserts 	1773549 صحار 	44053 Basamortuak 	111158 Έρημοι 	750535 Deșerturi 	32911 Desèrt 
724453 Dictionaries 	69191 Diccionarios 	493866 Wörterbuch 	87693 Dictionnaire 	21258 Diccionaris 	181558 قواميس 	33749 Hiztegiak 	12205 Λεξικά 	750569 Dicționare 	6556 Diccionari 
15636659 Dictatorship 	621094 Dictadura 	402700 Diktatur 	193845 Dictature 	31111 Dictadures 	750677 دكتاتورية 	121889 Diktadurak 	283310 Δικτατορία 	339146 Dictaturi 	15290 Dictatura 
7869122 Dynasties_of_ancient_Egypt 	215336 Dinastías_de_Egipto 	8003999 Dynastie_(Altes_Ägypten)_als_Thema 	322559 Dynastie_égyptienne 	876485 Dinasties_de_l'antic_Egipte 	10892 أسر_مصرية_قديمة 	98187 Antzinako_Egiptoko_dinastiak 	18469 Δυναστείες_της_αρχαίας_Αιγύπτου 	92601 Dinastiile_Egiptului_Antic 	25772 Dinastia_egipciana 
911551 Diplomacy 	55419 Diplomacia 	438097 Diplomatie 	101396 Diplomatie 	173169 Diplomàcia 	30598 دبلوماسية 	10694 Diplomazia 	93446 Διπλωματία 	750612 Diplomație 	7869 Diplomacia 
916882 Diplomats 	69233 Diplomáticos 	262726 Diplomat 	277804 Diplomate 	258743 Diplomàtics 	402919 دبلوماسيون 	10693 Diplomatikoak 	93445 Διπλωμάτες 	750574 Diplomați 	10544 Diplomata 
1287301 Dipsacales 	241874 Dipsacales 	1281942 Kardenartige 	158013 Dipsacales 	115490 Dipsacals 	1780083 ممشقيات 	60414 Dipsacales 	152922 Διψακώδη 	230445 Dipsacales 	34268 Dipsacales 
38868360 The_Walt_Disney_Company 	339654 Disney 	673512 Disney 	101095 Disney 	157216 The_Walt_Disney_Company 	242042 ديزني 	76342 Disney 	177548 Ντίσνεϋ 	107493 Disney 	21976 Disney 
1282143 Awards 	54426 Premios 	290907 Auszeichnung 	154087 Distinction 	32318 Premis 	16726 جوائز 	6262 Sariak 	31407 Βραβεία 	35109 Premii 	10081 Distincion 
700239 Linux_distributions 	60662 Distribuciones_Linux 	232654 Linux-Distribution 	82487 Distribution_Linux 	92500 Distribucions_GNU/Linux 	16922 توزيعات_لينكس 	4417 Linux_banaketak 	87714 Διανομές_Linux 	750675 Distribuții_Linux 	12903 Distribucion_Linux 
693046 Dominica 	72080 Dominica 	242259 Dominica 	217018 Dominique 	31566 Dominica 	103840 دومينيكا 	24706 Dominika 	248950 Δομινίκα 	52721 Dominica 	5809 Dominica 
1585095 Administrative_law 	75750 Derecho_administrativo 	235921 Verwaltungsrecht 	138023 Droit_administratif 	424995 Dret_administratiu 	1858059 قانون_إداري 	10059 Zuzenbide_administratiboa 	58656 Διοικητικό_Δίκαιο 	891895 Drept_administrativ 	7114 Drech_administratiu 
692454 Human_rights 	75738 Derechos_humanos 	406506 Menschenrechte 	1198437 Droits_fondamentaux 	31567 Drets_humans 	41285 حقوق_الإنسان 	11440 Giza_eskubideak 	68794 Ανθρώπινα_δικαιώματα 	164854 Drepturile_omului 	34484 Dreches_fondamentals 
1214659 Dukes 	366893 Duques 	237777 Herzog 	500069 Duc 	68970 Ducs 	266779 دوقات 	435910 Dukeak 	330703 Δούκες 	576196 Duci 	51156 Duc 
756162 Dukedoms 	98777 Ducados 	1742998 Herzogtum 	3400974 Duché 	270274 Ducats 	545055 دوقيات 	100051 Dukerriak 	331652 Δουκάτα 	928336 Ducate 	51266 Ducat 
1232105 Echinoderms 	869967 Echinodermata 	1208569 Stachelhäuter 	217454 Échinoderme 	31379 Equinoderms 	358945 شوكيات_الجلد 	47458 Ekinodermatuak 	115293 Εχινόδερμα 	454919 Echinoderme 	8106 Echinodermata 
2107063 Economies_by_country 	3081309 Economía_por_país 	1864693 Wirtschaft_nach_Staat 	134399 Économie_nationale 	556997 Economia_per_territori 	35327 اقتصاد_حسب_البلد 	144833 Ekonomia_herrialdearen_arabera 	120152 Οικονομία_ανά_χώρα 	750748 Economii_după_țări 	17539 Economia_nacionala 
699299 Economists 	57361 Economistas 	236318 Ökonom 	120173 Économiste 	23498 Economistes 	34003 اقتصاديون 	6403 Ekonomialariak 	12871 Οικονομολόγοι 	750749 Economiști 	17510 Economista 
13273551 Ecosystems 	84259 Ecosistemas 	300822 Ökosystem 	1917545 Écosystème 	66939 Ecosistemes 	1003955 أنظمة_بيئية 	66064 Ekosistemak 	11650 Οικοσυστήματα 	314415 Ecosisteme 	5601 Ecosistèma 
1016633 Middle_Ages 	160572 Edad_Media 	274492 Mittelalter 	82658 Moyen_Âge 	40601 Edat_mitjana 	12262 عصور_وسطى 	8841 Erdi_Aroa 	19779 Μεσαίωνας 	23140 Evul_Mediu 	12295 Edat_Mejana 
1240817 Education_in_France 	316583 Educación_en_Francia 	1831043 Bildung_in_Frankreich 	283194 Éducation_en_France 	957133 Educació_a_França 	191141 التعليم_في_فرنسا 	111790 Frantziako_hezkuntza 	275813 Εκπαίδευση_στη_Γαλλία 	750816 Educația_în_Franța 	48115 Educacion_en_França 
761323 Sweeteners 	252048 Edulcorantes 	3833141 Süßungsmittel 	301441 Édulcorant 	870166 Edulcorants 	209956 محليات 	10178 Gozagarriak 	117864 Γλυκαντικές_ουσίες 	791531 Îndulcitori 	63458 Edulcorant 
792537 Elections 	135548 Elecciones 	740350 Wahl 	230285 Élection 	94102 Eleccions 	126843 انتخابات 	18754 Hauteskundeak 	133956 Εκλογές 	16996 Alegeri 	34088 Eleccion 
